23.3	9.1
23.4	7.3
23.5	5.8
23.6	4.8
23.7	4.1
23.8	2.9
23.9	2.4
24	1.9
24.1	1.6
24.2	1.6
24.3	1.2
24.4	1.1
24.5	0.9
24.6	0.8
24.7	0.8
24.8	0.7
24.9	0.7
25	0.5
25.1	0.5
25.2	0.4
25.3	0.3
25.4	0.3
25.5	0.3
25.6	0.3
25.7	0.3
25.8	0.3
25.9	0.3
26	0.3
26.1	0.3
26.2	0.1
26.3	0.1
26.4	0.1
26.5	0
26.6	0
26.7	0
26.8	0
26.9	0
27	0
27.1	0
27.2	0
27.3	0
27.4	0
27.5	0
27.6	0
27.7	0
27.8	0
27.9	0
28	0
28.1	0
28.2	0
28.3	0
28.4	0
28.5	0
28.6	0
28.7	0
28.8	0
28.9	0
29	0
29.1	0
29.2	0
29.3	0
29.4	0
29.5	0
29.6	0
29.7	0
29.8	0
29.9	0
30	0
30.1	0
30.2	0
30.3	0
30.4	0
30.5	0
30.6	0
30.7	0
30.8	0
30.9	0
31	0
31.1	0
31.2	0
31.3	0
31.4	0
31.5	0
31.6	0
31.7	0
31.8	0
31.9	0
32	0
32.1	0
32.2	0
32.3	0
32.4	0
32.5	0
32.6	0
32.7	0
32.8	0
32.9	0
33	0
33.1	0
33.2	0
33.3	0
33.4	0
33.5	0
33.6	0
33.7	0
33.8	0
33.9	0
34	0
34.1	0
34.2	0
34.3	0
34.4	0
34.5	0
34.6	0
34.7	0
34.8	0
34.9	0
35	0
35.1	0
35.2	0
35.3	0
35.4	0
35.5	0
35.6	0
35.7	0
35.8	0
35.9	0
36	0
36.1	0
36.2	0
36.3	0
36.4	0
36.5	0
36.6	0
36.7	0
36.8	0
36.9	0
37	0
37.1	0
37.2	0
37.3	0
37.4	0
37.5	0
37.6	0
37.7	0
37.8	0
37.9	0
38	0
38.1	0
38.2	0
38.3	0
38.4	0
38.5	0
38.6	0
38.7	0
38.8	0
38.9	0
39	0
39.1	0
39.2	0
39.3	0
39.4	0
39.5	0
39.6	0
39.7	0
39.8	0
39.9	0
40	0
40.1	0
40.2	0
40.3	0
40.4	0
40.5	0
40.6	0
40.7	0
40.8	0
40.9	0
41	0
41.1	0
41.2	0
41.3	0
41.4	0
41.5	0
41.6	0
41.7	0
41.8	0
41.9	0
42	0
42.1	0
42.2	0
42.3	0
42.4	0
42.5	0
42.6	0
42.7	0
42.8	0
42.9	0
43	0
43.1	0
43.2	0
43.3	0
43.4	0
43.5	0
43.6	0
43.7	0
43.8	0
43.9	0
44	0
44.1	0
44.2	0
44.3	0
44.4	0
44.5	0
44.6	0
44.7	0
44.8	0
44.9	0
45	0
45.1	0
45.2	0
45.3	0
45.4	0
45.5	0
45.6	0
45.7	0
45.8	0
45.9	0
46	0
46.1	0
46.2	0
46.3	0
46.4	0
46.5	0
46.6	0
46.7	0
46.8	0
46.9	0
47	0
47.1	0
47.2	0
47.3	0
47.4	0
47.5	0
47.6	0
47.7	0
47.8	0
47.9	0
48	0
48.1	0
48.2	0
48.3	0
48.4	0
48.5	0
48.6	0
48.7	0
48.8	0
48.9	0
49	0
49.1	0
49.2	0
49.3	0
49.4	0
49.5	0
49.6	0
49.7	0
49.8	0
49.9	0
50	0
50.1	0
50.2	0
50.3	0
50.4	0
50.5	0
50.6	0
50.7	0
50.8	0
50.9	0
51	0
51.1	0
51.2	0
51.3	0
51.4	0
51.5	0
51.6	0
51.7	0
51.8	0
51.9	0
52	0
52.1	0
52.2	0
52.3	0
52.4	0
52.5	0
52.6	0
52.7	0
52.8	0
52.9	0
53	0
53.1	0
53.2	0
53.3	0
53.4	0
53.5	0
53.6	0
53.7	0
53.8	0
53.9	0
54	0
54.1	0
54.2	0
54.3	0
54.4	0
54.5	0
54.6	0
54.7	0
54.8	0
54.9	0
55	0
55.1	0
55.2	0
55.3	0
55.4	0
55.5	0
55.6	0
55.7	0
55.8	0
55.9	0
56	0
56.1	0
56.2	0
56.3	0
56.4	0
56.5	0
56.6	0
56.7	0
56.8	0
56.9	0
57	0
57.1	0
57.2	0
57.3	0
57.4	0
57.5	0
57.6	0
57.7	0
57.8	0
57.9	0
58	0
58.1	0
58.2	0
58.3	0
58.4	0
58.5	0
58.6	0
58.7	0
58.8	0
58.9	0
59	0
59.1	0
59.2	0
59.3	0
59.4	0
59.5	0
59.6	0
59.7	0
59.8	0
59.9	0
60	0
